Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,VerticalDrop
Alpendorf (Ski amedé),Austria,1980,740,52.0,30,81,4,115,1,0,22,16,11,49,75398,600,1240
Soldeu-Pas de la Casa/​Grau Roig/​El Tarter/​Canillo/​Encamp (Grandvalira),Andorra,2640,1710,47.0,100,77,33,210,1,1,37,28,7,72,99017,1032,930
Oberau (Wildschönau),Austria,1130,900,30.0,1,0,1,2,0,0,2,0,0,2,1932,0,230
Dachstein West,Austria,1620,780,42.0,15,33,3,51,1,1,25,8,3,36,32938,163,840
Rosa Khutor,Southern Russia,2320,940,22.0,30,26,21,77,1,0,6,11,10,27,49228,450,1380
Białka Tatrzańska-Kotelnica-​Kaniówka-​Bania,Poland,910,680,23.0,12,3,0,16,1,1,7,1,0,8,28020,0,230
Vitosha-Sofia,Bulgaria,2290,726,18.0,12,6,2,20,0,1,8,5,2,15,12450,0,1564
Szczyrk-Skrzyczne,Poland,1257,524,20.0,22,7,4,35,0,0,11,4,1,16,22500,0,733
Jahorina,Bosnia and Herzegovina,1889,920,20.0,3,19,3,25,0,1,5,5,1,11,16230,0,969
Kobla-Bohinj,Slovenia,1480,540,22.0,12,10,1,23,0,0,3,3,0,6,5720,30,940
Aillons-Margériaz,France,1785,1370,19.0,18,4,1,24,0,0,7,1,0,8,10025,0,415
Gornaya Karusel,Southern Russia,960,540,22.0,4,15,1,20,0,0,3,1,0,4,15740,0,420
Kaiseregg-​Riggisalp-Schwarzsee,Switzerland,1750,1050,34.0,14,5,1,20,1,1,11,3,1,15,5790,46,700
St. Pierre de Chartreuse-Le Planolet,France,1800,900,21.0,18,12,5,35,0,0,3,2,0,5,12610,35,900
Buchenberg-Buching-Halblech-,Germany,1140,810,25.0,2,4,0,6,0,0,2,1,0,3,2800,0,330
Méribel (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120
​Les Menuires (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120
Les Sybelles-Le Corbier-​La Toussuire-​Les Bottières-​St Colomban des Villards-​St Sorlin-​St Jean d’Arves,France,2620,1100,44.0,53,239,18,310,1,1,44,28,0,72,83807,514,1520
Le Grand Massif-Flaine-​Les Carroz-​Morillon-​Samoëns-​Sixt,France,2476,694,47.0,135,95,35,265,1,0,34,29,9,72,97624,1100,1782
Megève-​Saint-Gervais,France,2353,850,46.0,98,134,31,263,1,1,50,27,9,86,106362,888,1503
Laax-​Flims-​Falera,Switzerland,3018,1100,68.0,88,81,19,188,1,0,13,9,11,33,46116,300,1918
Vars-​Risoul-La Forêt Blanche,France,2750,1650,39.0,75,90,20,185,1,1,32,17,2,51,50145,0,1100
Kicking Horse,France,1608,1500,39.0,56,93,30,180,1,0,21,13,4,38,40680,281,108
Le Grand Domaine-Valmorel-​Doucy-​Celliers-​St François Longchamp,France,2550,1250,44.0,115,35,15,165,1,0,36,17,3,56,60248,332,1300
Galibier Thabor-Valmeinier-​Valloire,France,2594,1430,39.0,75,60,15,150,1,1,12,17,2,31,43300,400,1164
Zillertal Arena-Zell am Ziller-​Gerlos-​Königsleiten-​Hochkrimml,Austria,2500,580,52.0,43,89,11,143,1,0,22,21,13,56,89415,792,1920
La Molina-​Masella-Alp2500,Spain,2531,1616,45.0,76,47,18,141,1,1,19,13,1,33,39750,1010,915
Auron-Saint-Etienne-de-Tinée-,France,1600,1150,34.0,60,45,30,135,1,0,7,9,3,19,25030,440,450
Alta Badia,Italy,2550,1324,52.0,70,52,8,130,1,0,18,30,11,59,89327,391,1226
La Clusaz-​Manigod,France,2477,1040,37.0,62,40,23,125,1,1,28,14,7,49,59346,223,1437
Espace Villard Corrençon-Villard-de-Lans-​Corrençon-en-Vercors,France,2050,1050,36.0,50,50,25,125,1,0,18,7,3,28,26600,339,1000
Val Cenis-Lanslevillard-​Lanslebourg-​Termignon,France,2800,1300,36.0,73,42,10,125,1,1,13,13,2,28,39824,200,1500
Isola 2000,France,2603,1800,34.0,75,35,10,120,1,1,12,7,3,22,21807,430,803
Obersaxen-​Mundaun-​Val Lumnezia,Switzerland,2310,1201,51.0,60,40,20,120,1,1,10,9,0,19,20720,297,1109
Les 7 Laux-Prapoutel-​Le Pleynet-​Pipay,France,2400,1350,36.0,46,36,38,120,1,0,15,8,1,24,32232,200,1050
Corvatsch-​Furtschellas,Switzerland,3303,1797,69.0,13,89,17,120,1,1,5,6,3,14,18510,0,1506
Nassfeld-Hermagor,Austria,2002,600,46.0,30,69,11,110,1,1,16,9,5,30,49386,483,1402
Mondolè Ski-Artesina-​Frabosa Soprana-​Prato Nevoso,Italy,807,803,33.0,42,51,11,105,1,1,19,14,0,33,26068,0,4
Aletsch Arena-Riederalp-​Bettmeralp-​Fiesch Eggishorn,Switzerland,1845,759,53.0,42,50,12,104,1,1,18,8,12,38,41109,258,1086
Bad Kleinkirchheim-​St. Oswald,Austria,2055,1087,47.0,18,77,8,103,1,1,17,7,4,28,31186,800,968
Bardonecchia,Italy,2694,1312,36.0,54,38,8,100,1,0,13,9,1,23,27588,0,1382
Saint-Lary-Soulan,France,1600,812,42.0,60,30,10,100,1,1,17,11,3,31,38733,290,788
Orcières Merlette 1850,France,2725,1850,34.0,55,38,7,100,1,0,20,7,3,30,29605,0,875
Dévoluy-Superdévoluy-​La Joue du Loup,France,2450,1450,36.0,60,30,10,100,1,0,18,5,1,24,27646,180,1000
Grand Tourmalet-​Pic du Midi-La Mongie-​Barèges,France,2500,1250,42.0,58,35,7,100,1,0,21,15,2,38,40231,0,1250
Parsenn (Davos Klosters),Switzerland,2844,810,61.0,20,60,16,96,1,0,4,6,8,18,26795,169,2034
Åre,Sweden,1274,380,45.0,45,38,8,91,1,1,27,5,4,36,39000,0,894
Alto Sangro-Roccaraso-​Rivisondoli,Italy,2141,1309,41.0,37,32,20,90,0,0,11,11,4,26,36602,0,832
Chamrousse,France,2250,1400,34.0,45,35,10,90,1,1,8,7,1,16,24398,78,850
Valberg-​Beuil les Launes,France,2020,1412,32.0,45,35,10,90,1,0,22,7,0,29,25940,400,608
Adelboden-​Lenk-Chuenisbärgli-​Silleren-​Hahnenmoos-​Metsch,Switzerland,1260,1072,55.0,44,38,6,88,1,1,12,8,6,26,34620,500,188
